Timestamp,Scenario,Controller,Throughput_Mbps,Avg_Delay_ms,PacketLoss_Ratio,p95_Delay_ms,Max_PacketLoss,Jains_Fairness,QoS_Violations,Total_Downtime_s,Congestion_Intensity,Satisfaction_Percent,Cell_Edge_Tput,Avg_SINR_dB,Avg_RSRP_dBm,Avg_HO_per_UE,Avg_Inference_ms,EnergyEfficiency_Mbps_W,Model_Params,HO_Success_Rate,Control_Stability,QoS_Score,Reliability_Score,Resource_Score,Buffer_Score,PHY_Score,Architecture_Score,Config_num_ues,Config_num_cells,Config_sim_time,Config_kpm_interval_ms,Config_system_bandwidth_mhz,Config_model_path,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Config_model_type
22-02-2026 4.50,urban_canyon,linear,0.2476281,19.72025321,0.031212158,74.02231975,0.3080082,0.667202745,117,1.5,0.0,0.0,0.0,-7.6302537,-137.0406548,4.2,109.7661328,21.76876238,3217939,0.0,87.70918,36.55061328222352,73.89274842541023,20.431531797114435,98.95098488585998,4.049202441058725,0.0,20,3,60.0,100,10.0,linear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-02-2026 4.50,commuter_rush,linear,0.743866321,87.63363518,0.161317265,168.8735775,0.86497825,0.964916343,468,19.2,0.0,0.0,0.545960997,6.936512459,-128.1812815,0.0,131.0218981,170.1566792,3217939,1.0,85.24763,27.24893094760781,86.40733508026649,46.344608784266754,94.51430215100685,30.209882575904267,0.0,20,3,60.0,100,10.0,linear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-02-2026 4.54,mixed_reality,linear,1.166508725,110.2911742,0.697936895,175.3176135,0.90882615,0.445326401,593,58.3,0.0,20.0,0.0,3.491678568,-118.4873544,2.5,125.5398564,113.8230911,3217939,0.0,80.73061,33.72767784871317,46.884793915748176,17.9484914394575,76.21516614857235,33.17655584884096,0.0,20,3,60.0,100,10.0,linear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-02-2026 5.12,spectrum_crunch,linear,4.768199542,62.26324475,0.799179618,106.4742288,0.9607741,0.315076565,593,59.3,0.0,80.0,0.90991988,7.678850919,-120.9268446,0.1,110.3059069,934.5652142,3217939,0.0,81.85494,82.31001548425776,45.84082564384388,64.57217100091118,72.7627125783707,36.825040273518674,0.0,20,3,60.0,100,10.0,linear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-02-2026 5.13,iot_tsunami,linear,0.087288254,177.2906748,0.180400767,312.2305965,0.35814205,0.2478428,588,23.7,0.0,0.0,0.0,-5.209766066,-132.5175326,0.0,101.7049306,27.37949631,3217939,1.0,90.21709,7.148110414128599,89.36855534038104,6.317385751465866,93.86354027242864,10.765068070157325,0.0,20,3,60.0,100,10.0,linear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-02-2026 5.17,mobility_storm,nn,2.044779779,26.68996677,0.010291075,33.11413425,0.435254,0.730147196,21,0.6,0.0,90.0,0.587996368,21.81825599,-120.3141749,0.0,0.899134176,646.0422134,140563,1.0,98.115036,78.79218832208917,96.17497228530266,57.34727790999899,99.66440966895117,56.01707830674033,98.6134330360452,20,3,60.0,100,10.0,nn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-02-2026 5.17,handover_ping_pong,nn,2.144787144,25.2637491,0.007561303,28.21262525,0.4512972,0.725244466,21,0.6,0.0,90.0,0.0,29.13703619,-116.841767,0.0,0.943941744,674.9747685,140563,1.0,98.10528,79.71297756775373,96.09854462181896,47.34750242869103,99.75749696261512,68.40101878681725,98.59780038780124,20,3,60.0,100,10.0,nn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-02-2026 5.18,flash_crowd,nn,1.333289382,74.23198289,0.443812477,120.169939,0.9341027,0.479018099,597,57.4,0.0,35.0,0.0,9.334813495,-116.6624566,6.15,1.005903482,450.4576008,140563,0.0,97.831085,46.42553445432172,49.506104960339854,30.228902715993307,84.88100136321313,42.3280156301653,98.57618292231552,20,3,60.0,100,10.0,nn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-02-2026 5.20,traffic_burst,nn,1.516189558,91.79329548,0.661738133,133.4888062,0.94023415,0.570330313,462,44.7,0.0,55.0,0.0,13.15537127,-116.5450711,2.7,1.060154041,534.5590287,140563,0.0,97.63852,51.85236723427246,49.60317618460002,36.35435612307636,77.44957136210836,47.47643319160294,98.55725576461111,20,3,60.0,100,10.0,nn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-02-2026 5.22,adversarial,nn,2.028122687,37.96564718,0.119125641,134.8227647,0.94023415,0.705769018,93,7.8,0.0,90.0,0.0,26.48448958,-116.8002057,2.7,1.100663344,654.6701364,140563,0.0,98.127235,72.55729425052793,66.86784244420627,45.80066327568096,95.95306849978832,64.92210911095555,98.54312271270332,20,3,60.0,100,10.0,nn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
